Time [s],ECI X_1 [km],ECI Y_1 [km],ECI Z_1 [km],ECI dX_1 [km/s],ECI dY_1 [km/s],ECI dZ_1 [km/s],Beta0_1,Beta1,Beta2_1,Beta3_1,Omega1_1 [rad/s],Omega2_1 [rad/s],Omega3_1 [rad/s],ECI X_2 [km],ECI Y_2 [km],ECI Z_2 [km],ECI dX_2 [km/s],ECI dY_2 [km/s],ECI dZ_2 [km/s],Beta0_2,Beta1_2,Beta2_2,Beta3_2,Omega1_2 [rad/s],Omega2_2 [rad/s],Omega3_2 [rad/s]
9790,-27561.7609878772,32303.9137763584,-0.00981054472666288,-2.3307331100828,-1.98858023102072,-3.84693429272346e-07,0.153234293896775,0.687931180587435,0.0222547037209311,-0.709066054829752,-0.00236417081341021,-2.35314817866128e-05,-0.00113569638679599,-27561.7609457647,32303.9157118933,0,-2.33073244852535,-1.98858219467357,0,0.153234293896775,0.687931180587435,0.0222547037209311,-0.709066054829752,-0.00236417081341021,-2.35314817866134e-05,-0.000135696386795985
9800,-27585.0611418585,32284.0195675494,-0.00981435672265575,-2.32929776188106,-1.99026135175891,-3.77702877870213e-07,0.160877393449159,0.685957641487951,0.0315799354079728,-0.708931086947752,-0.00236438509569574,-2.11706406790876e-05,-0.00113545572444964,-27585.0610943962,32284.0214835426,0,-2.32929707563569,-1.99026330286113,0,0.160877393449159,0.685957641487951,0.0315799354079728,-0.708931086947752,-0.00236438509569574,-2.11706406790883e-05,-0.000135455724449639
9810,-27608.3469363075,32264.1085527072,-0.00981809872746389,-2.32786120092235,-1.9919414367264,-3.70695297028605e-07,0.168498978543832,0.683889066357339,0.0409010560783975,-0.708682540181599,-0.00236460128125659,-1.88211489167225e-05,-0.00113519121077299,-27608.3468832356,32264.1104492896,0,-2.32786049019997,-1.99194337498632,0,0.168498978543832,0.683889066357339,0.0409010560783975,-0.708682540181599,-0.00236460128125659,-1.88211489167231e-05,-0.000135191210772986
9820,-27631.6183591001,32244.1807421937,-0.0098217705739041,-2.326423427953,-1.99362048504688,-3.63671306032098e-07,0.176097872085416,0.681725698788233,0.0502166926501683,-0.708320474670867,-0.00236481936220363,-1.64833677608969e-05,-0.00113490302351564,-27631.6183001609,32244.1826194993,0,-2.32642269296604,-1.99362241017455,0,0.176097872085416,0.681725698788233,0.0502166926501683,-0.708320474670867,-0.00236481936220363,-1.64833677608975e-05,-0.000134903023515638
9830,-27654.87539812,32224.2361463796,-0.00982537210090065,-2.32498444371993,-1.99529849584471,-3.56631507420009e-07,0.183672900056766,0.679467796088012,0.0595254722272462,-0.707844967503592,-0.00236503933065845,-1.41576545054037e-05,-0.00113459134361956,-27654.875333058,32224.2380045455,0,-2.32498368468237,-1.9953004075518,0,0.183672900056766,0.679467796088012,0.0595254722272462,-0.707844967503592,-0.00236503933065845,-1.41576545054043e-05,-0.000134591343619557
9840,-27678.1180412581,32204.2747756442,-0.00982890315332781,-2.3235442489706,-1.99697546824486,-3.49576488987684e-07,0.191222891703593,0.677115629261145,0.0688260222837661,-0.707256112702743,-0.00236526117873888,-1.18443624380413e-05,-0.00113425635517242,-27678.1179698202,32204.2766148106,0,-2.32354346609804,-1.99697736624455,0,0.191222891703593,0.677115629261145,0.0688260222837661,-0.707256112702743,-0.00236526117873888,-1.18443624380419e-05,-0.000134256355172412
9850,-27701.3462764129,32184.2966403758,-0.00983236358187247,-2.32210284445304,-1.99865140137293,-3.42506825808017e-07,0.198746679718538,0.674669482989972,0.0781169708485965,-0.706554021210226,-0.00236548489854442,-9.54384080301468e-06,-0.00113389824536071,-27701.3461983482,32184.2984606858,0,-2.3221020379628,-1.99865328537985,0,0.198746679718538,0.674669482989972,0.0781169708485965,-0.706554021210226,-0.00236548489854442,-9.5438408030153e-06,-0.000133898245360711
9860,-27724.5600914904,32164.3017509712,-0.00983575324291715,-2.32066023091581,-2.00032629435513,-3.35423082267794e-07,0.206243100424655,0.672129655613912,0.0873969466902685,-0.705738820868434,-0.00236571048214165,-7.2564347641448e-06,-0.00113351720442272,-27724.5600065501,32164.3035525711,0,-2.32065940102699,-2.00032816408528,0,0.206243100424655,0.672129655613912,0.0873969466902685,-0.705738820868434,-0.00236571048214165,-7.25643476414542e-06,-0.000133517204422716
9870,-27747.7594744039,32144.2901178361,-0.00983907199844331,-2.31921640910805,-2.00200014631831,-3.2832581411439e-07,0.213710993958283,0.669496459107092,0.0966645795022572,-0.704810656399348,-0.00236593792154953,-4.9824853688846e-06,-0.00113311342560116,-27747.7593823419,32144.2919008751,0,-2.31921555604162,-2.00200200148896,0,0.213710993958283,0.669496459107092,0.0966645795022572,-0.704810656399348,-0.00236593792154953,-4.98248536888522e-06,-0.000133113425601153
9880,-27770.9444130745,32124.2617513849,-0.00984231971595527,-2.31777137977939,-2.00367295638989,-3.21215570510621e-07,0.221149204451268,0.666770219054393,0.105918500088599,-0.7037696893812,-0.00236616720872479,-2.72232951314257e-06,-0.00113268710509573,-27770.9443136466,32124.2635160152,0,-2.31777050375829,-2.00367479671956,0,0.221149204451268,0.666770219054393,0.105918500088599,-0.7037696893812,-0.00236616720872479,-2.72232951314318e-06,-0.000132687105095725
