      Time    Hgtkm GeocenLat  Lon(East)   DensMean   PresMean    Tmean   EWmean   NSmean   DensPert   PresPert    Tpert   EWpert  NSpert SDden% SDprs% SDtemK SDuwnd SDvwnd SDwwnd Wpert SpdAvg  SpdStd SOSmean SOSpert Sev
      0.00  171.000  40.00000 -105.27000 1.0177e-009 3.6760e-004 1042.26   58.40   -9.54 1.0458e-009 3.4740e-004  958.56  -31.25   46.88   6.12   8.01  96.48  87.00  87.00  11.18  13.16 112.52  77.33  711.11  681.96   0
      0.00  170.500  40.00000 -105.27000 1.0361e-009 3.7238e-004 1037.91   57.77   -9.43 1.0849e-009 3.4876e-004  928.41  -33.60   42.31   6.14   8.06  96.71  87.00  87.00  11.14  18.15 112.18  77.33  709.34  670.88   0
      0.00  170.000  40.00000 -105.27000 1.0550e-009 3.7723e-004 1033.52   57.16   -9.32 1.1133e-009 3.5346e-004  917.68  -48.50   41.75   6.16   8.11  96.91  87.00  87.00  11.09  23.09 111.86  77.33  707.54  666.71   0
      0.00  169.500  40.00000 -105.27000 1.0743e-009 3.8218e-004 1029.10   56.54   -9.22 1.1669e-009 3.4441e-004  853.77  -25.79   20.70   6.18   8.15  97.11  87.00  87.00  11.05  17.65 111.54  77.33  705.73  642.81   0
      0.00  169.000  40.00000 -105.27000 1.0941e-009 3.8722e-004 1024.64   55.93   -9.11 1.2096e-009 3.4511e-004  826.04   10.30   48.60   6.19   8.20  97.29  87.00  87.00  11.00  19.02 111.22  77.33  703.91  632.02   0
      0.00  168.500  40.00000 -105.27000 1.1144e-009 3.9236e-004 1020.14   55.31   -9.00 1.2458e-009 3.4509e-004  802.62   36.50   66.42   6.21   8.25  97.46  87.00  87.00  10.96   9.21 110.90  77.33  702.07  622.73   0
      0.00  168.000  40.00000 -105.27000 1.1353e-009 3.9759e-004 1015.60   54.70   -8.90 1.2461e-009 3.5721e-004  831.34   22.81   45.24   6.23   8.29  97.62  87.00  87.00  10.91   9.24 110.59  77.33  700.21  633.51   0
      0.00  167.500  40.00000 -105.27000 1.1567e-009 4.0292e-004 1011.03   54.09   -8.79 1.2372e-009 3.7273e-004  874.44   50.64   56.48   6.25   8.34  97.77  87.00  87.00  10.87   7.33 110.28  77.33  698.34  649.45   0
      0.00  167.000  40.00000 -105.27000 1.1786e-009 4.0835e-004 1006.41   53.48   -8.68 1.2382e-009 3.8425e-004  901.43   93.29   69.79   6.26   8.38  97.90  87.00  87.00  10.82   9.69 109.97  77.33  696.45  659.13   0
      0.00  166.500  40.00000 -105.27000 1.2012e-009 4.1389e-004 1001.75   52.88   -8.58 1.2670e-009 3.8786e-004  889.97   99.95   29.14   6.28   8.43  98.02  87.00  87.00  10.78  13.72 109.67  77.33  694.54  654.65   0
      0.00  166.000  40.00000 -105.27000 1.2243e-009 4.1953e-004  997.06   52.28   -8.48 1.3018e-009 3.9494e-004  882.74   77.72   27.08   6.30   8.47  98.13  87.00  87.00  10.73  10.19 109.38  77.33  692.62  651.71   0
      0.00  165.500  40.00000 -105.27000 1.2481e-009 4.2528e-004  992.32   51.68   -8.37 1.3171e-009 4.0222e-004  889.35   71.09   25.76   6.32   8.52  98.22  87.00  87.00  10.69  10.89 109.08  77.33  690.68  653.87   0
      0.00  165.000  40.00000 -105.27000 1.2725e-009 4.3115e-004  987.54   51.08   -8.27 1.3443e-009 4.0930e-004  887.44   62.60   16.25   6.33   8.56  98.30  87.00  87.00  10.64   5.28 108.79  77.33  688.72  652.89   0
      0.00  164.500  40.00000 -105.27000 1.2976e-009 4.3713e-004  982.72   50.49   -8.16 1.3521e-009 4.1886e-004  903.69   14.33   -0.23   6.35   8.61  98.37  87.00  87.00  10.59   2.04 108.51  77.33  686.75  658.56   0
      0.00  164.000  40.00000 -105.27000 1.3234e-009 4.4323e-004  977.86   49.90   -8.06 1.3491e-009 4.3508e-004  941.55   -7.52  -16.84   6.37   8.65  98.43  87.00  87.00  10.55   9.40 108.23  77.33  684.76  671.92   0
      0.00  163.500  40.00000 -105.27000 1.3499e-009 4.4946e-004  972.96   49.31   -7.96 1.3716e-009 4.3666e-004  930.25  -23.23  -14.03   6.38   8.70  98.48  87.00  87.00  10.50  12.40 107.95  77.33  682.75  667.60   0
      0.00  163.000  40.00000 -105.27000 1.3771e-009 4.5581e-004  968.02   48.72   -7.86 1.3605e-009 4.5309e-004  973.96  -32.18    4.46   6.40   8.74  98.51  87.00  87.00  10.46  10.99 107.67  77.33  680.72  682.81   0
      0.00  162.500  40.00000 -105.27000 1.4051e-009 4.6229e-004  963.03   48.14   -7.75 1.3751e-009 4.6125e-004  981.83  -65.60  -20.25   6.42   8.79  98.53  87.00  87.00  10.41   5.64 107.40  77.33  678.67  685.26   0
      0.00  162.000  40.00000 -105.27000 1.4340e-009 4.6890e-004  958.00   47.55   -7.65 1.4084e-009 4.6737e-004  972.20  -57.69  -34.23   6.43   8.83  98.53  87.00  87.00  10.37   5.74 107.14  77.33  676.61  681.60   0
      0.00  161.500  40.00000 -105.27000 1.4636e-009 4.7565e-004  952.93   46.98   -7.55 1.4584e-009 4.6925e-004  943.44  -41.18  -30.50   6.45   8.87  98.53  87.00  87.00  10.32   3.02 106.88  77.33  674.52  671.15   0
      0.00  161.000  40.00000 -105.27000 1.4941e-009 4.8254e-004  947.81   46.40   -7.45 1.5148e-009 4.7148e-004  913.42  -51.51  -25.42   6.47   8.91  98.51  87.00  87.00  10.28  -2.29 106.62  77.33  672.42  660.11   0
      0.00  160.500  40.00000 -105.27000 1.5255e-009 4.8958e-004  942.66   45.83   -7.35 1.5710e-009 4.6905e-004  876.95  -39.83   -9.86   6.48   8.96  98.48  87.00  87.00  10.23   4.48 106.36  77.33  670.30  646.52   0
      0.00  160.000  40.00000 -105.27000 1.5578e-009 4.9676e-004  937.45   45.26   -7.25 1.6001e-009 4.8120e-004  884.10  -21.35   24.22   6.50   9.00  98.43  87.00  87.00  10.19   2.63 106.11  77.33  668.15  648.86   0
      0.00  159.500  40.00000 -105.27000 1.5911e-009 5.0410e-004  932.21   44.69   -7.15 1.6097e-009 4.9164e-004  898.67   18.83   19.15   6.52   9.10  99.02  86.60  86.60  10.14   4.32 105.46  76.97  665.99  653.90   0
      0.00  159.000  40.00000 -105.27000 1.6255e-009 5.1160e-004  926.92   44.12   -7.06 1.6607e-009 4.9166e-004  871.88   34.84   26.13   6.54   9.21  99.57  86.19  86.19  10.10   6.88 104.81  76.61  663.81  643.80   0
      0.00  158.500  40.00000 -105.27000 1.6608e-009 5.1926e-004  921.58   43.56   -6.96 1.6737e-009 5.0885e-004  896.17    8.88   39.85   6.56   9.31 100.10  85.78  85.78  10.05   8.65 104.16  76.24  661.61  652.42   0
      0.00  158.000  40.00000 -105.27000 1.6972e-009 5.2710e-004  916.20   43.00   -6.86 1.7061e-009 5.1563e-004  891.60    2.03   75.64   6.57   9.41 100.59  85.37  85.37  10.00   7.42 103.51  75.88  659.38  650.47   0
      0.00  157.500  40.00000 -105.27000 1.7348e-009 5.3510e-004  910.77   42.45   -6.76 1.7978e-009 5.1053e-004  838.52  -12.69   63.51   6.59   9.51 101.06  84.96  84.96   9.96   9.67 102.87  75.51  657.14  630.53   0
      0.00  157.000  40.00000 -105.27000 1.7735e-009 5.4328e-004  905.30   41.89   -6.67 1.8255e-009 5.2455e-004  849.20    0.96   53.65   6.61   9.61 101.49  84.54  84.54   9.91   9.10 102.22  75.14  654.87  634.26   0
      0.00  156.500  40.00000 -105.27000 1.8135e-009 5.5165e-004  899.79   41.34   -6.57 1.9156e-009 5.2055e-004  803.80   10.07   27.86   6.63   9.70 101.90  84.13  84.13   9.86   8.85 101.57  74.78  652.58  616.79   0
      0.00  156.000  40.00000 -105.27000 1.8547e-009 5.6021e-004  894.22   40.80   -6.48 1.9959e-009 5.0856e-004  754.37  -12.25   -8.07   6.65   9.80 102.28  83.71  83.71   9.82  12.39 100.92  74.40  650.27  597.26   0
      0.00  155.500  40.00000 -105.27000 1.8973e-009 5.6896e-004  888.61   40.25   -6.38 2.0113e-009 5.2951e-004  780.13   16.61   -3.92   6.66   9.90 102.64  83.29  83.29   9.77  14.38 100.27  74.03  647.94  607.11   0
      0.00  155.000  40.00000 -105.27000 1.9413e-009 5.7792e-004  882.96   39.71   -6.29 2.0569e-009 5.3611e-004  773.03    5.63    7.39   6.68   9.99 102.96  82.87  82.87   9.72  14.74  99.63  73.65  645.59  604.07   0
      0.00  154.500  40.00000 -105.27000 1.9866e-009 5.8709e-004  877.26   39.17   -6.19 2.1173e-009 5.4760e-004  767.75    0.39    2.34   6.70  10.08 103.26  82.44  82.44   9.68  14.96  98.98  73.28  643.21  601.73   0
      0.00  154.000  40.00000 -105.27000 2.0335e-009 5.9647e-004  871.51   38.63   -6.10 2.1336e-009 5.6754e-004  790.35    5.79    7.85   6.72  10.18 103.53  82.02  82.02   9.63  19.13  98.33  72.90  640.82  610.25   0
      0.00  153.500  40.00000 -105.27000 2.0820e-009 6.0608e-004  865.72   38.10   -6.01 2.1407e-009 5.9141e-004  821.58   31.24    2.88   6.74  10.27 103.78  81.59  81.59   9.59  19.13  97.68  72.52  638.39  621.91   0
      0.00  153.000  40.00000 -105.27000 2.1321e-009 6.1592e-004  859.88   37.57   -5.91 2.2061e-009 5.9307e-004  800.21   23.28    7.65   6.75  10.36 103.99  81.16  81.16   9.54  13.89  97.04  72.13  635.95  613.49   0
      0.00  152.500  40.00000 -105.27000 2.1839e-009 6.2600e-004  853.99   37.05   -5.82 2.3572e-009 5.7185e-004  722.77    8.34   13.30   6.77  10.45 104.19  80.72  80.72   9.49  13.36  96.39  71.75  633.48  582.78   0
      0.00  152.000  40.00000 -105.27000 2.2375e-009 6.3632e-004  848.06   36.52   -5.73 2.4505e-009 5.6272e-004  684.78   -7.40    0.87   6.79  10.54 104.35  80.29  80.29   9.45  13.98  95.74  71.36  630.99  567.00   0
      0.00  151.500  40.00000 -105.27000 2.2930e-009 6.4691e-004  842.07   36.00   -5.64 2.4438e-009 5.8878e-004  719.10  -28.53   19.37   6.81  10.63 104.49  79.85  79.85   9.40   9.77  95.09  70.97  628.47  580.77   0
      0.00  151.000  40.00000 -105.27000 2.3504e-009 6.5775e-004  836.05   35.49   -5.55 2.4823e-009 6.0771e-004  731.38  -39.51   41.52   6.82  10.72 104.61  79.41  79.41   9.35  11.50  94.44  70.58  625.93  585.44   0
      0.00  150.500  40.00000 -105.27000 2.4098e-009 6.6887e-004  829.97   34.97   -5.46 2.5241e-009 6.1482e-004  728.35  -31.29   41.34   6.84  10.80 104.70  78.96  78.96   9.31   9.71  93.79  70.18  623.37  583.96   0
      0.00  150.000  40.00000 -105.27000 2.4714e-009 6.8028e-004  823.85   34.46   -5.37 2.6371e-009 6.1346e-004  696.26  -64.55   50.72   6.86  10.89 104.76  78.52  78.52   9.26   7.60  93.15  69.79  620.78  570.68   0
      0.00  149.500  40.00000 -105.27000 2.5352e-009 6.9198e-004  817.68   33.95   -5.28 2.7283e-009 6.1196e-004  671.95  -86.39   51.28   6.88  10.98 104.80  78.07  78.07   9.21   4.06  92.50  69.39  618.16  560.37   0
      0.00  149.000  40.00000 -105.27000 2.6014e-009 7.0398e-004  811.46   33.45   -5.19 2.7838e-009 6.2897e-004  677.50  -86.26   57.25   6.89  11.06 104.82  77.62  77.62   9.17   7.09  91.85  68.99  615.52  562.42   0
      0.00  148.500  40.00000 -105.27000 2.6700e-009 7.1630e-004  805.20   32.95   -5.10 2.8016e-009 6.5805e-004  704.99 -101.91   53.33   6.91  11.15 104.81  77.16  77.16   9.12  11.00  91.19  68.59  612.85  573.45   0
      0.00  148.000  40.00000 -105.27000 2.7412e-009 7.2895e-004  798.89   32.45   -5.02 2.8543e-009 6.8136e-004  717.15 -101.72   56.17   6.93  11.23 104.77  76.71  76.71   9.07  10.23  90.54  68.18  610.16  578.11   0
      0.00  147.500  40.00000 -105.27000 2.8151e-009 7.4194e-004  792.53   31.96   -4.93 2.8763e-009 7.0706e-004  739.19 -114.41   32.34   6.95  11.32 104.71  76.25  76.25   9.03  12.16  89.89  67.77  607.44  586.64   0
      0.00  147.000  40.00000 -105.27000 2.8918e-009 7.5529e-004  786.13   31.47   -4.84 2.9312e-009 7.2643e-004  745.92  -90.18   87.13   6.96  11.40 104.63  75.79  75.79   8.98   8.46  89.24  67.36  604.70  589.03   0
