ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2021, Month=  4, Day=  1, Hour=21.00,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   40.00, Longitude=   40.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=   500.00 Step=     0.50

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
3  Temperature_neutral, K
  201.5 1.839E-13  693.3
  202.0 1.805E-13  693.6
  202.5 1.772E-13  693.9
  203.0 1.740E-13  694.2
  203.5 1.708E-13  694.5
  204.0 1.677E-13  694.7
  204.5 1.647E-13  695.0
  205.0 1.617E-13  695.2
  205.5 1.587E-13  695.5
  206.0 1.559E-13  695.8
  206.5 1.531E-13  696.0
  207.0 1.503E-13  696.2
  207.5 1.476E-13  696.5
  208.0 1.450E-13  696.7
  208.5 1.424E-13  696.9
  209.0 1.399E-13  697.1
  209.5 1.374E-13  697.4
  210.0 1.349E-13  697.6
  210.5 1.325E-13  697.8
  211.0 1.302E-13  698.0
  211.5 1.279E-13  698.2
  212.0 1.257E-13  698.4
  212.5 1.234E-13  698.6
  213.0 1.213E-13  698.8
  213.5 1.192E-13  698.9
  214.0 1.171E-13  699.1
  214.5 1.150E-13  699.3
  215.0 1.130E-13  699.5
  215.5 1.111E-13  699.6
  216.0 1.092E-13  699.8
  216.5 1.073E-13  700.0
  217.0 1.054E-13  700.1
  217.5 1.036E-13  700.3
  218.0 1.018E-13  700.5
  218.5 1.001E-13  700.6
  219.0 9.837E-14  700.8
  219.5 9.669E-14  700.9
  220.0 9.504E-14  701.0
  220.5 9.342E-14  701.2
  221.0 9.184E-14  701.3
  221.5 9.028E-14  701.5
  222.0 8.875E-14  701.6
  222.5 8.726E-14  701.7
  223.0 8.578E-14  701.8
  223.5 8.434E-14  702.0
  224.0 8.292E-14  702.1
  224.5 8.153E-14  702.2
  225.0 8.017E-14  702.3
  225.5 7.883E-14  702.4
  226.0 7.752E-14  702.6
  226.5 7.623E-14  702.7
  227.0 7.496E-14  702.8
  227.5 7.372E-14  702.9
