     Time  HgtMOLA LatPC   LonE    Denkgm3   Temp  EWind  NWind  sigD  Ls   Dust  LTST CO2%m  N2%m  Ar%m  O2%m  CO%m   O%m  He%m  H2%m   H%m H2O%m  DensP
        0.  46.50  18.44   77.45 1.141E-04  136.3   27.9   35.6   6.5   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.949
        0.  47.00  18.44   77.45 1.060E-04  137.0   27.0   32.7   6.6   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.956
        0.  47.50  18.44   77.45 9.848E-05  137.6   26.1   29.8   6.7   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.907
        0.  48.00  18.44   77.45 9.150E-05  138.2   25.2   26.9   6.8   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.906
        0.  48.50  18.44   77.45 8.501E-05  138.9   24.4   24.1   6.9   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.958
        0.  49.00  18.44   77.45 7.899E-05  139.5   23.5   21.2   7.0   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.974
        0.  49.50  18.44   77.45 7.339E-05  140.1   22.6   18.3   7.1   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.970
        0.  50.00  18.44   77.45 6.820E-05  140.8   21.7   15.4   7.2   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.963
        0.  50.50  18.44   77.45 6.294E-05  141.3   19.4   11.6   7.3   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.962
        0.  51.00  18.44   77.45 5.809E-05  141.7   17.0    7.7   7.4   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.992
        0.  51.50  18.44   77.45 5.362E-05  142.2   14.7    3.9   7.5   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.024
        0.  52.00  18.44   77.45 4.949E-05  142.7   12.3    0.1   7.6   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.984
        0.  52.50  18.44   77.45 4.568E-05  143.1   10.0   -3.7   7.7   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.969
        0.  53.00  18.44   77.45 4.216E-05  143.6    7.7   -7.5   7.8   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.016
        0.  53.50  18.44   77.45 3.892E-05  144.1    5.3  -11.4   7.9   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.971
        0.  54.00  18.44   77.45 3.592E-05  144.6    3.0  -15.2   8.1   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.998
        0.  54.50  18.44   77.45 3.316E-05  145.0    0.6  -19.0   8.2   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.995
        0.  55.00  18.44   77.45 3.061E-05  145.5   -1.7  -22.8   8.3   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.059
        0.  55.50  18.44   77.45 2.859E-05  145.5   -3.6  -21.9   8.4   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.064
        0.  56.00  18.44   77.45 2.670E-05  145.6   -5.5  -21.1   8.5   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.044
        0.  56.50  18.44   77.45 2.494E-05  145.6   -7.3  -20.2   8.7   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.072
        0.  57.00  18.44   77.45 2.330E-05  145.6   -9.2  -19.3   8.8   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.063
        0.  57.50  18.44   77.45 2.177E-05  145.6  -11.1  -18.4   8.9   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.102
        0.  58.00  18.44   77.45 2.033E-05  145.6  -13.0  -17.5   9.0   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.065
        0.  58.50  18.44   77.45 1.899E-05  145.7  -14.8  -16.6   9.2   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.082
        0.  59.00  18.44   77.45 1.774E-05  145.7  -16.7  -15.8   9.3   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.072
        0.  59.50  18.44   77.45 1.657E-05  145.7  -18.6  -14.9   9.4   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.077
        0.  60.00  18.44   77.45 1.548E-05  145.7  -20.5  -14.0   9.6   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.074
        0.  60.50  18.44   77.45 1.454E-05  145.5  -22.3  -11.2   9.7   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.059
        0.  61.00  18.44   77.45 1.366E-05  145.2  -24.0   -8.4   9.8   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.020
        0.  61.50  18.44   77.45 1.283E-05  145.0  -25.8   -5.6  10.0   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.994
        0.  62.00  18.44   77.45 1.205E-05  144.7  -27.6   -2.7  10.1   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.013
