Time [s],ECI X_1 [km],ECI Y_1 [km],ECI Z_1 [km],ECI dX_1 [km/s],ECI dY_1 [km/s],ECI dZ_1 [km/s],sigma1_1,sigma2_1,sigma3_1,Omega1_1 [rad/s],Omega2_1 [rad/s],Omega3_1 [rad/s],ECI X_2 [km],ECI Y_2 [km],ECI Z_2 [km],ECI dX_2 [km/s],ECI dY_2 [km/s],ECI dZ_2 [km/s],sigma1_2,sigma2_2,sigma3_2,Omega1_2 [rad/s],Omega2_2 [rad/s],Omega3_2 [rad/s]
14430,-36645.355037836,21454.8892827139,-0.00952777594043669,-1.54797270248396,-2.64396353514214,-2.77677174325695e-07,-0.567018771976267,0.326585614172824,0.524060528834021,-0.0024034500558537,-1.57502683922358e-05,-0.00103422198352137,-36645.3544926229,21454.8922698352,0,-1.54797342037334,-2.64396428975906,0,-0.567018771976267,0.326585614172824,0.524060528834021,-0.0024034500558537,-1.57502683922364e-05,-3.42219835213659e-05
14440,-36660.8252233234,21428.4440650094,-0.00953056105292271,-1.54606469134999,-2.6450796983692,-2.79328794142686e-07,-0.572856612370402,0.321906504040755,0.531530379914928,-0.00240347957014866,-1.51128528842555e-05,-0.00103417179611566,-36660.8246873619,21428.4470449118,0,-1.54606539320419,-2.645080465468,0,-0.572856612370402,0.321906504040755,0.531530379914928,-0.00240347957014866,-1.51128528842562e-05,-3.41717961156596e-05
14450,-36676.2763246811,21401.9876925618,-0.00953336218469629,-1.54415587563813,-2.64619448497656,-2.80880927821505e-07,-0.578701506496785,0.317123871973253,0.539031235422954,-0.00240351000827748,-1.44783347601257e-05,-0.00103411500582158,-36676.2757978042,21401.9906651156,0,-1.54415656121152,-2.6461952642427,0,-0.578701506496785,0.317123871973253,0.539031235422954,-0.00240351000827748,-1.44783347601263e-05,-3.41150058215786e-05
14460,-36691.7083338682,21375.5201791402,-0.00953617833783295,-1.54224625633544,-2.64730789438904,-2.82332968486158e-07,-0.584553097344128,0.312235963685492,0.546563141745963,-0.00240354136211168,-1.38468171503814e-05,-0.00103405166111137,-36691.7078159067,21375.5231442187,0,-1.54224692538899,-2.64730868550284,0,-0.584553097344128,0.312235963685492,0.546563141745963,-0.00240354136211168,-1.3846817150382e-05,-3.40516611113709e-05
14470,-36707.1212428538,21349.0415385192,-0.00953900850851225,-1.54033583442926,-2.64841992603209,-2.83684343872612e-07,-0.590411004958185,0.3072409875029,0.554126129928237,-0.00240357362342242,-1.32184020374899e-05,-0.00103398181140503,-36707.1207336359,21349.0444959992,0,-1.5403364867307,-2.64842072866881,0,-0.590411004958185,0.3072409875029,0.554126129928237,-0.00240357362342242,-1.32184020374905e-05,-3.39818114050236e-05
14480,-36722.5150436171,21322.5517844792,-0.00954185168736552,-1.53842461090729,-2.64953057933174,-2.8493451664977e-07,-0.596274825512585,0.302137113760436,0.561720214833826,-0.00240360678388136,-1.25931902436916e-05,-0.00103390550705585,-36722.5145429685,21322.5547342409,0,-1.53842524623113,-2.64953139316173,0,-0.596274825512585,0.302137113760436,0.561720214833826,-0.00240360678388136,-1.25931902436922e-05,-3.3905507055843e-05
14490,-36737.8897281467,21296.0509308064,-0.00954470685982676,-1.53651258675749,-2.65063985371461,-2.86082984743467e-07,-0.602144130344482,0.296922474202821,0.569345394272387,-0.00240364083506169,-1.19712814191128e-05,-0.00103382279933595,-36737.889235891,21296.0538727334,0,-1.53651320488522,-2.65064067840344,0,-0.602144130344482,0.296922474202821,0.569345394272387,-0.00240364083506169,-1.19712814191134e-05,-3.38227993359501e-05
14500,-36753.2452884416,21269.5389912928,-0.0095475730064869,-1.53459976296818,-2.65174774860794,-2.87129281664061e-07,-0.608018464953822,0.291595161386821,0.577001648085988,-0.00240367576843903,-1.13527740301517e-05,-0.0010337337404217,-36753.2448044,21269.5419252722,0,-1.53460036368831,-2.65174858381648,0,-0.608018464953822,0.291595161386821,0.577001648085988,-0.00240367576843903,-1.13527740301523e-05,-3.37337404216968e-05
14510,-36768.5817165102,21243.015979736,-0.00955044910345127,-1.53268614052798,-2.65285426343954,-2.88072976836042e-07,-0.613897347964992,0.286153228086742,0.584688937195265,-0.00240371157539239,-1.07377653481374e-05,-0.00103363838337901,-36768.581240502,21243.0189056585,0,-1.53268672363614,-2.65285510882412,0,-0.613897347964992,0.286153228086742,0.584688937195265,-0.00240371157539239,-1.0737765348138e-05,-3.36383833790048e-05
14520,-36783.8990043712,21216.4819099392,-0.0095533341227004,-1.53077172042581,-2.65395939763781,-2.88913675930732e-07,-0.619780270049584,0.280594686704419,0.592407202603313,-0.00240374824720514,-1.01263514382622e-05,-0.00103353678214863,-36783.8985362132,21216.484827699,0,-1.53077228572489,-2.65396025285036,0,-0.619780270049584,0.280594686704419,0.592407202603313,-0.00240374824720514,-1.01263514382629e-05,-3.35367821486292e-05
